company_name,cik,source_record_id,address_street,address_city,address_state,address_zip,address_country,source_name,website_url,contact_name,contact_email,phone,notes,company_status,stage,one_liner
"BPC Plasma, Inc. BPC Plasma, Inc",,3012560581,,Brookings,SD,57006,,FDA Blood Registration,,,,,,,,
"BPC Plasma, Inc. BPC Plasma, Inc,",,1072432,,Gainesville,FL,32609,,FDA Blood Registration,,,,,,,,
"BPC Plasma, Inc.",,3011458585,,Conway,AR,72034,,FDA Blood Registration,,,,,,,,
"BPC Plasma, Inc.",,3015305641,,Russellville,AR,72801,,FDA Blood Registration,,,,,,,,
"BPC Plasma, Inc.",,3010402750,,Orlando,FL,32826,,FDA Blood Registration,,,,,,,,
"BPC Plasma, Inc.",,3010515468,,Melbourne,FL,32934,,FDA Blood Registration,,,,,,,,
"BPC Plasma, Inc.",,1048618,,Hollywood,FL,33024,,FDA Blood Registration,,,,,,,,
"BPC Plasma, Inc.",,3010719477,,Royal Palm Beach,FL,33411,,FDA Blood Registration,,,,,,,,
"BPC Plasma, Inc.",,1072431,,Ft. Myers,FL,33966,,FDA Blood Registration,,,,,,,,
"BPC Plasma, Inc.",,3011197697,,Marietta,GA,30067,,FDA Blood Registration,,,,,,,,
"BPC Plasma, Inc.",,3007528667,,Norcross,GA,30071,,FDA Blood Registration,,,,,,,,
"BPC Plasma, Inc.",,3020754333,,Statesboro,GA,30458,,FDA Blood Registration,,,,,,,,
"BPC Plasma, Inc.",,3009228984,,Athens,GA,30601,,FDA Blood Registration,,,,,,,,
"BPC Plasma, Inc.",,3007538885,,Athens,GA,30606,,FDA Blood Registration,,,,,,,,
"BPC Plasma, Inc.",,1172435,,Augusta,GA,30906,,FDA Blood Registration,,,,,,,,
"BPC Plasma, Inc.",,3015377565,,Hinesville,GA,31313,,FDA Blood Registration,,,,,,,,
"BPC Plasma, Inc.",,3010955103,,Valdosta,GA,31601,,FDA Blood Registration,,,,,,,,
"BPC Plasma, Inc.",,3007064210,,Iowa City,IA,52240,,FDA Blood Registration,,,,,,,,
"BPC Plasma, Inc.",,1978000,,Lincoln,NE,68508,,FDA Blood Registration,,,,,,,,
"BPC Plasma, Inc.",,3013167426,,Kearney,NE,68847,,FDA Blood Registration,,,,,,,,
"BPC Plasma, Inc.",,3011358275,,Jacksonville,NC,28540,,FDA Blood Registration,,,,,,,,
"BPC Plasma, Inc.",,1038997,,Jacksonville,NC,28546,,FDA Blood Registration,,,,,,,,
"BPC Plasma, Inc.",,3014743643,,Bowling Green,OH,43402,,FDA Blood Registration,,,,,,,,
"BPC Plasma, Inc.",,1526520,,Youngstown,OH,44515,,FDA Blood Registration,,,,,,,,
"BPC Plasma, Inc.",,2572436,,Dickson City,PA,18519,,FDA Blood Registration,,,,,,,,
"BPC Plasma, Inc.",,3012618999,,Clemson,SC,29631,,FDA Blood Registration,,,,,,,,
"BPC Plasma, Inc.",,3012980998,,Vermillion,SD,57069,,FDA Blood Registration,,,,,,,,
"BPC Plasma, Inc.",,1627241,,San Antonio,TX,78216,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3015421968,,Birmingham,AL,35209,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3016690668,,Mobile,AL,36608,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3015521860,,Phoenix,AZ,85032,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3015525182,,Mesa,AZ,85209,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3015648527,,Tempe,AZ,85284,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3014473797,,Glendale,AZ,85306,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3017520612,,Avondale,AZ,85392-4904,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3027998723,,Tucson,AZ,85705,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3016509588,,Tucson,AZ,85730-1230,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3000204650,,Fayetteville,AR,72703,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3030406626,,Lakewood,CA,90712-2512,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3020199584,,Pomona,CA,91766,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3021704570,,Lemon Grove,CA,91945-1401,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3020919355,,San Marcos,CA,92069-3563,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3021090705,,Vista,CA,92081-6025,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3018368788,,Rialto,CA,92376-4623,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3032314893,,Victorville,CA,92392-5447,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3020752118,,San Bernardino,CA,92404-4625,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3019410301,,Riverside,CA,92504-2603,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3018118285,,Moreno Valley,CA,92553-3021,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3030055731,,Temecula,CA,92591-7526,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3018803696,,Corona,CA,92879-1761,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3022098365,,Visalia,CA,93277-6228,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3026578734,,Bakersfield,CA,93309-4800,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3024148200,,Fresno,CA,93710-5004,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3024590744,,Stockton,CA,95207-6212,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3030452618,,Modesto,CA,95350-4333,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3023675888,,Roseville,CA,95678-2810,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3023831018,,Sacramento,CA,95821-5206,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3023831744,,Sacramento,CA,95823-2304,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3017670443,,Aurora,CO,80012-3693,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3030554744,,Thornton,CO,80229-2014,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3011999558,,Longmont,CO,80501,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3011109020,,Loveland,CO,80538,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3041546292,,Colorado Springs,CO,80906,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3013007553,,Colorado Springs,CO,80923,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3029800380,,Newark,DE,19713-2100,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3031224262,,Daytona Beach,FL,32114,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3030057175,,Jacksonville,FL,32205-6204,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3017219911,,Jacksonville,FL,32225-8213,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3023194114,,Tallahassee,FL,32301-3007,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3030454986,,Pensacola,FL,32504-8607,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3032800452,,Gainesville,FL,32608-1742,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3014027636,,Casselberry,FL,32707,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3015257145,,Orlando,FL,32818,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3031465516,,Orlando,FL,32819-9039,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3029226590,,Orlando,FL,32822,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3030809276,,Tampa,FL,33634-2281,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3019984838,,Largo,FL,33771-2323,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,1077471,,Lakeland,FL,33813,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3015855477,,Kissimmee,FL,34744,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3012041406,,Snellville,GA,30039,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3018367280,,Duluth,GA,30096-5863,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3011144709,,Douglasville,GA,30135,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3019013384,,Kennesaw,GA,30144-4946,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3015224736,,McDonough,GA,30253,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3016620519,,Morrow,GA,30260-3316,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3014947557,,Augusta,GA,30907,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3011502561,,Warner Robins,GA,31093,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3015969995,,Columbus,GA,31909,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3006611178,,Ammon,ID,83406,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3011714965,,Nampa,ID,83687,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3010403932,,Boise,ID,83713,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3008895868,,Hayden,ID,83835,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3016252793,,Addison,IL,60101,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3004014548,,DeKalb,IL,60115,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3015969953,,Villa Park,IL,60181,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3019864209,,Joliet,IL,60435-3855,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3014389499,,Bolingbrook,IL,60440,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3028001508,,Chicago,IL,60620-1318,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3017484724,,Harwood Heights,IL,60706-4600,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3022484878,,Rockford,IL,61108,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3030147327,,Fairview Heights,IL,62208-2018,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3012415306,,Greenwood,IN,46143,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3018122842,,Indianapolis,IN,46214-3119,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3007326193,,Elkhart,IN,46514,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3010569471,,Fort Wayne,IN,46804,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,1876564,,Fort Wayne,IN,46825,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3004582762,,Kokomo,IN,46902,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,1876578,,Muncie,IN,47304,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,1876544,,Bloomington,IN,47404-4872,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3001629960,,Ames,IA,50010,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3011638482,,Ankeny,IA,50021,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3012981940,,West Des Moines,IA,50266,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3022935417,,Des Moines,IA,50320-1333,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3007959978,,Cedar Falls,IA,50613,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3010483434,,Waterloo,IA,50702,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3007349296,,Sioux City,IA,51106,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,1938048,,Dubuque,IA,52002,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,1937444,,Coralville,IA,52241,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,1000218225,,Cedar Rapids,IA,52402,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3010187885,,Cedar Rapids,IA,52404,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3026850320,,Davenport,IA,52807-3466,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3023858139,,Lenexa,KS,66215,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3027787058,,Lafayette,LA,70503-5130,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3017219865,,Baton Rouge,LA,70816-4036,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3030679584,,Bossier City,LA,71111-3207,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3031621904,,Forestville,MD,20747-3207,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3017161003,,Baltimore,MD,21229,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3019555523,,Towson,MD,21286-8311,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3028784823,,Salisbury,MD,21804-7123,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3027083443,,West Springfield,MA,01089-4005,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3020710440,,Worcester,MA,01603-1450,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3023084092,,Methuen,MA,01844-7214,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3021985151,,Medford,MA,02155-4901,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3026742970,,Attleboro,MA,02703-5524,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3017483223,,Warren,MI,48088,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3018056157,,Livonia,MI,48150,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3018005706,,Ypsilanti,MI,48197,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3026575970,,Detroit,MI,48234,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3023213616,,Flint,MI,48507-1270,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3004471487,,Mount Pleasant,MI,48858,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3010960208,,Grandville,MI,49418,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3026578947,,Holland,MI,49424-8685,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,1876569,,Walker,MI,49544,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,1876554,,Grand Rapids,MI,49546,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3003103599,,Marquette,MI,49855,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,2177739,,Mounds View,MN,55112,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3018923680,,Saint Paul,MN,55119-4406,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3012006650,,Maple Grove,MN,55311,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3001614614,,Mankato,MN,56001,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3000204800,,Saint Cloud,MN,56303,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3010511597,,Waite Park,MN,56387,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3006769911,,Moorhead,MN,56560,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3017066293,,Saint Ann,MO,63074-2138,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3016994562,,Saint Louis,MO,63119-4408,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3013459024,,Saint Peters,MO,63376,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,1978025,,Independence,MO,64055,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3014948212,,Kansas City,MO,64154,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3014277813,,Kansas City,MO,64158,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,1000119164,,Joplin,MO,64804,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,1978019,,Springfield,MO,65804,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3011638472,,Springfield,MO,65807,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3003444632,,Billings,MT,59102,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3004459766,,Great Falls,MT,59404,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3003419404,,Missoula,MT,59808,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3017603322,,Omaha,NE,68114,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3015775918,,Henderson,NV,89014,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3017218209,,North Las Vegas,NV,89032-0225,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3017825503,,Las Vegas,NV,89109-1502,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3025527098,,Las Vegas,NV,89117,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3018201297,,Deptford,NJ,08096-3068,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3021090698,,Egg Harbor Township,NJ,08234-3935,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3036576649,,New York,NY,10035-4409,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3035345254,,Bronx,NY,10459-5190,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3045857148,,Latham,NY,12110-2820,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3041546274,,Rochester,NY,14606,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,1045838,,Greensboro,NC,27405,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3015590789,,Charlotte,NC,28217,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3024403018,,Fayetteville,NC,28314-1587,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3011210586,,West Fargo,ND,58078,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,1000116800,,Fargo,ND,58103,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3003102460,,Bismarck,ND,58503,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3017825520,,Columbus,OH,43214-1903,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3027486715,,Toledo,OH,43623-3008,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3009707348,,Mentor,OH,44060,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3008133911,,Middletown,OH,45044,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3003991551,,Lima,OH,45807,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3003887920,,Findlay,OH,45840,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3022486096,,Del City,OK,73115-3917,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3015856258,,Oklahoma City,OK,73116-1538,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3007991124,,Broken Arrow,OK,74012,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3019561814,,Tulsa,OK,74135,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3031091862,,Portland,OR,97223-4458,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3019768973,,Pittsburgh,PA,15218,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3020871492,,Pittsburgh,PA,15237-3423,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3036576682,,Camp Hill,PA,17011-5144,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3032023092,,Spartanburg,SC,29301-2649,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3014276902,,Greenville,SC,29607,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3013906372,,Mt. Juliet,TN,37122,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3031787410,,Chattanooga,TN,37421-349,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3014353581,,Cordova,TN,38016,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3026742964,,Irving,TX,75062-5912,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3015890593,,Lewisville,TX,75067,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3036578165,,McKinney,TX,75070-2234,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3030809223,,Mesquite,TX,75150-5428,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3020324036,,Dallas,TX,75232-4503,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3023084096,,Dallas,TX,75248-5729,,FDA Blood Registration,,,,,,,,
BioLife Plasma Services L.P.,,3024965693,,Longview,TX,75605-4643,,FDA Blood Registration,,,,,,,,
