ACCESSIONNUMBER,ENTITYNAME,CIK,STREET1,STREET2,CITY,STATEORCOUNTRY,ZIPCODE,TOTALAMOUNTSOLD,TOTALOFFERINGAMOUNT,FILING_DATE,source_quarter
0001960653-23-000001,Myodenovo Inc.,0001960653,2735 HIDDEN WATERS CIR.,,RALEIGH,NC,27614,105000,2000000,16-FEB-2023,2023Q1
0001104659-23-020903,"AVENUE THERAPEUTICS, INC.",0001644963,"1111 KANE CONCOURSE, SUITE 301",,BAY HARBOR ISLANDS,FL,33154,242537,242537,14-FEB-2023,2023Q1
0001947761-23-000001,"Apexigen, Inc.",0001814140,"75 SHOREWAY ROAD, SUITE C",,SAN CARLOS,CA,94070,5587982,5587982,14-FEB-2023,2023Q1
0001437749-23-003187,"76Bio, Inc.",0001903465,40 Guest Street,,Boston,MA,01235,12220600,12220600,13-FEB-2023,2023Q1
0001963883-23-000001,"OncoXome, Inc.",0001963883,10824 BLOOMFIELD STREET,#207,NORTH HOLLYWOOD,CA,91602,170500,1000000,13-FEB-2023,2023Q1
0001762917-23-000001,"Alloplex Biotherapeutics, Inc.",0001762917,300 Trade Center Drive,Suite 6580,Woburn,MA,01801,20670582,25000000,13-FEB-2023,2023Q1
0001836740-23-000001,"Avilar Therapeutics, Inc.",0001836740,400 TOTTEN POND ROAD,SUITE 110,WALTHAM,MA,02451,75276164,75276164,13-FEB-2023,2023Q1
0001965520-23-000001,Stemtrix Corp.,0001965520,8 THE GREEN,STE A,DOVER,DE,19901,0,20000000,10-FEB-2023,2023Q1
0001961558-23-000001,"EOLO USA, Inc.",0001961558,1209 ORANGE STREET,,WILMINGTON,DE,19801,1799999,2999999,08-FEB-2023,2023Q1
0001786205-23-000001,"Arcellx, Inc.",0001786205,25 WEST WATKINS MILL ROAD,SUITE A,GAITHERSBURG,MD,20878,100000003,100000003,06-FEB-2023,2023Q1
0001960079-23-000001,"Innovative Display Systems, LLC",0001960079,15 WHATNEY,,IRVINE,CA,92618,4620000,Indefinite,03-FEB-2023,2023Q1
0001810918-23-000001,Dimension Inx Corp.,0001832381,3440 SOUTH DEARBORN STREET,SUITE 142S,CHICAGO,IL,60616,11999993,15000000,03-FEB-2023,2023Q1
0001961833-23-000001,"Secretome Therapeutics, Inc.",0001961833,3060 PEGASUS PARK DR,BUILDING 6,DALLAS,TX,75247,6854247,10888098,02-FEB-2023,2023Q1
0001963621-23-000001,"SunnyBay BioTech, Inc.",0001963621,46283 WARM SPRINGS BLVD.,,FREMONT,CA,94539,2230915,5980914,27-JAN-2023,2023Q1
0001493152-23-002625,"Cytovia, Inc.",0001936927,18851 NE 29TH AVENUE,2ND FLOOR,AVENTURA,FL,33180,1195000,5000000,26-JAN-2023,2023Q1
0001922447-23-000001,"OXOS Series #7 Holdings, LLC",0001922447,1230 PEACHTREE ST NE,SUITE 300,ATLANTA,GA,30309,7753500,10000000,26-JAN-2023,2023Q1
0001963361-23-000001,MONARCH CO LLC,0001963361,4000 EAGLE POINT CORPORATE DRIVE,,BIRMINGHAM,AL,35242,1033010,1033010,25-JAN-2023,2023Q1
0001963471-23-000001,"Pepper Bio, Inc.",0001963471,19 DEMETRA TER.,,DEDHAM,MA,02026,1000000,1000000,25-JAN-2023,2023Q1
0001961889-23-000001,"Byonyks Medical Devices, Inc.",0001961889,550 EAST DEVON AVENUE,SUITE 140,ITASCA,IL,60143,1000000,Indefinite,24-JAN-2023,2023Q1
0001962460-23-000001,AMORPHEX THERAPEUTICS HOLDINGS INC.,0001962460,1 DUNDEE PARK,SUITE 8,ANDOVER,MA,01810,265000,265000,20-JAN-2023,2023Q1
0001213900-23-003895,"Emmaus Life Sciences, Inc.",0000822370,21250 HAWTHORNE BLVD.,SUITE 800,TORRANCE,CA,90503,0,34000000,20-JAN-2023,2023Q1
0001962783-23-000001,Thylacine Biotherapeutics Inc,0001962783,6899 COLLINS AVE,SUITE 2604,MIAMI BEACH,FL,33141,476000,1000000,19-JAN-2023,2023Q1
0001493152-23-001806,Soricimed Biopharma Inc.,0001532755,18 BOTSFORD STREET,SUITE 201,MONCTON,A3,E1C 4W7,2775233,3732179,19-JAN-2023,2023Q1
0001787617-23-000001,"InDevR, Inc.",0001787617,2100 CENTRAL AVENUE,SUITE 105,BOULDER,CO,80301,5999975,9000000,18-JAN-2023,2023Q1
0001960587-23-000001,"Capacity Bio, Inc.",0001960587,3175 HANOVER ST.,,PALO ALTO,CA,94304,19210937,35329982,18-JAN-2023,2023Q1
0001493152-23-001704,Curative Biotechnology Inc,0001400271,1825 NW CORPORATE BLVD,SUITE 110,BOCA RATON,FL,33431,146000,919000,18-JAN-2023,2023Q1
0001962036-23-000001,"Perceive Biotherapeutics, Inc.",0001962036,"6000 SHORELINE DRIVE, SUITE 206",ATTN: CEO,SOUTH SAN FRANCISCO,CA,94080,39999986,77999974,13-JAN-2023,2023Q1
0001824483-23-000001,"OrthoFundamentals, LLC",0001824483,303 Wyman Street,Suite 300,Waltham,MA,02451,599647,599647,12-JAN-2023,2023Q1
0001961831-23-000001,"PhenoVista BioSciences, Inc.",0001961831,6195 CORNERSTONE COURT EAST,SUITE #114,SAN DIEGO,CA,92121,3000000,3000000,11-JAN-2023,2023Q1
0001785279-23-000001,"Metagenomi Technologies, LLC",0001785279,1545 Park Avenue,,Emeryville,CA,94608,95790739,99999964,11-JAN-2023,2023Q1
0001837999-23-000001,"IMMvention Therapeutix, Inc.",0001837999,9 Laboratory Drive,Suite 264,DURHAM,NC,27709,1999999,3999999,10-JAN-2023,2023Q1
0001567619-23-000625,"Mytide Therapeutics, Inc.",0001905245,451 D STREET SUITE 707,,BOSTON,MA,02210,1164111,2500000,06-JAN-2023,2023Q1
0001526054-23-000001,"Mosaic Biosciences, Inc.",0001526054,2830 Wilderness Place,,BOULDER,CO,80301,11382997,11383000,06-JAN-2023,2023Q1
0001838073-23-000003,"XENTER, INC.",0001838073,"344 WEST 13800 SOUTH, STE. 400",,DRAPER,UT,84020,1131800,40000000,06-JAN-2023,2023Q1
0001748206-23-000002,Xeno Biosciences Inc.,0001748206,"1770 Massachusetts Avenue, Suite 224",,CAMBRIDGE,MA,02140,1500000,1500000,05-JAN-2023,2023Q1
0001682338-23-000001,Grid Therapeutics LLC,0001682338,"THE IMPERIAL BUILDING, 215 MORRIS ST",SUITE 300,DURHAM,NC,27701,1740000,1740000,05-JAN-2023,2023Q1
0001959861-23-000001,"Urica Therapeutics, Inc.",0001959861,1111 KANE CONCOURSE,SUITE 301,BAY HARBOR ISLANDS,FL,33154,2533350,5000000,05-JAN-2023,2023Q1
0001213900-23-000912,"Hoth Therapeutics, Inc.",0001711786,1 ROCKEFELLER PLAZA,SUITE 1039,NEW YORK,NY,10020,10000000,10000000,04-JAN-2023,2023Q1
0001956680-23-000001,"Ribonaut Therapeutics, Inc.",0001956680,492 PEACOCK LN N,,JUPITER,FL,33458,6917854,25999994,04-JAN-2023,2023Q1
0001863177-23-000001,"PROXIMITY THERAPEUTICS, INC.",0001863177,139 MAIN STREET,,CAMBRIDGE,MA,02142,11000001,11000001,04-JAN-2023,2023Q1
0001567619-23-000019,"Neumora Therapeutics, Inc.",0001885522,"490 Arsenal Way, Suite 200",,Watertown,MA,02472,474356988,474356988,03-JAN-2023,2023Q1
0001117480-23-000020,"NanoCellect Biomedical, Inc.",0001658031,"9525 Towne Centre Drive, #150",,SAN DIEGO,CA,92121,28929239,38504239,30-JUN-2023,2023Q2
0001709409-23-000007,"Calidi Biotherapeutics, Inc.",0001758478,"4475 Executive Drive, Suite 200",,San Diego,CA,92121,4999975,25000000,29-JUN-2023,2023Q2
0001679733-23-000001,"LUMINOPIA, INC.",0001679733,625 MASSACHUSETTS AVENUE,Floor 2,CAMBRIDGE,MA,02139,15811759,16811759,29-JUN-2023,2023Q2
0001980943-23-000001,"Cytosolix, Inc.",0001980943,97 ROBBIE ROAD,,TOLLAND,CT,06084,6605171,6605171,28-JUN-2023,2023Q2
0001009448-23-000001,Kellbenx Inc.,0001515776,3500 SUNRISE HIGHWAY,"BUILDING 200, SUITE 111",GREAT RIVER,NY,11739,0,2500000,28-JUN-2023,2023Q2
0001877769-23-000001,Opus Genetics Inc.,0001877769,8 DAVIS DRIVE,SUITE 220,DURHAM,NC,27709,4501972,20000000,27-JUN-2023,2023Q2
0001983127-23-000001,"GENOME INSIGHT, INC.",0001983127,6330 NANCY RIDGE DRIVE SUITE 106,,SAN DIEGO,CA,92121,4500001,25000000,27-JUN-2023,2023Q2
0001506492-23-000001,"Nuwellis, Inc.",0001506492,12988 VALLEY VIEW ROAD,,EDEN PRAIRIE,MN,55344,0,Indefinite,26-JUN-2023,2023Q2
0001096906-23-001335,"PERSOWN, Inc.",0001826054,9143 PHILIPS HWY,SUITE 390,JACKSONVILLE,FL,32256,25000,1000000,23-JUN-2023,2023Q2
0001674941-23-000002,"Resolys Bio, Inc.",0001674941,545 WESTFALL ROAD,,DELANSON,NY,12053,50000,5000000,21-JUN-2023,2023Q2
0001777474-23-000001,Veralox Therapeutics Inc.,0001777474,4539 METROPOLITAN COURT,,FREDERICK,MD,21704,24013521,24999971,21-JUN-2023,2023Q2
0001982335-23-000001,"Nu-Tek BioSciences, LLC",0001982335,5400 OPPORTUNITY COURT,SUITE 120,MINNETONKA,MN,55343,1680000,3000000,21-JUN-2023,2023Q2
0001639681-23-000003,BIOCURITY PHARMACEUTICALS INC.,0001639681,7750 OKEECHOBEE BLVD,STE 4 MB 3058,WEST PALM BEACH,FL,33411,16900,650000,21-JUN-2023,2023Q2
0001982113-23-000001,"MicroNeb, Inc.",0001982113,7127 1ST AVENUE SOUTH,,ST. PETERSBURG,FL,33707,150000,1250000,20-JUN-2023,2023Q2
0001861147-23-000002,"Vernal Biosciences, Inc.",0001861147,261 Mountain View Drive,,Colchester,VT,05461,40998390,40998390,16-JUN-2023,2023Q2
0001792612-23-000001,"Avenzoar Pharmaceuticals, Inc.",0001792612,1819 Outpost Dr.,,Los Angeles,CA,90089,899748,2970000,16-JUN-2023,2023Q2
0001981924-23-000001,COSMICA Inc.,0001981924,350 TOWNSEND STREET #575,,SAN FRANCISCO,CA,94107,200000,2000000,16-JUN-2023,2023Q2
0001758320-23-000002,"Efemoral Medical, Inc.",0001758320,2300 DEODARA DRIVE,,LOS ALTOS,CA,94024,525000,3000000,16-JUN-2023,2023Q2
0001981580-23-000001,PanCryos ApS,0001981580,OLE MAALOES VEJ 3,,COPENHAGEN,G7,2200,0,5000000,15-JUN-2023,2023Q2
0001231457-23-000005,GENELUX Corp,0001231457,"2625 TOWNSGATE ROAD, SUITE 230",,WESTLAKE VILLAGE,CA,91361,18304319,33304319,15-JUN-2023,2023Q2
0001493152-23-021329,"Ocean Biomedical, Inc.",0001869974,55 CLAVERICK STREET,ROOM 325,PROVIDENCE,RI,02903,7560000,27000000,15-JUN-2023,2023Q2
0001783776-23-000001,"Visgenx, Inc.",0001783776,3210 Merryfield Row,,San Diego,CA,92121,2763915,3497724,14-JUN-2023,2023Q2
0001358856-23-000001,"SWAN VALLEY MEDICAL, INC",0001358856,HARBOR VILLAGE,301 EAGLE BEND DRIVE,BIGFORK,MT,59911-3005,100000,6000000,13-JUN-2023,2023Q2
0001387131-23-007495,Adamis Pharmaceuticals Corp,0000887247,11682 EL CAMINO REAL,SUITE 300,SAN DIEGO,CA,92130,0,Indefinite,12-JUN-2023,2023Q2
0001778959-23-000001,Revere Pharmaceuticals Inc.,0001778959,36 ORVIS ROAD,,ARLINGTON,MA,02474,1622604,3559612,12-JUN-2023,2023Q2
0001567619-23-006334,"Lyra Therapeutics, Inc.",0001327273,480 Arsenal Way,,Watertown,MA,02472,50000008,50000008,09-JUN-2023,2023Q2
0001979814-23-000002,"Adaptive Phage Therapeutics, Inc.",0001701259,708 Quince Orchard Road,,GAITHERSBURG,MD,20878,11999999,30000000,09-JUN-2023,2023Q2
0001980623-23-000001,S1P Therapeutics Inc.,0001980623,501 WILDFLOWER LANE,,BLACKSBURG,VA,24060,2016999,3000000,09-JUN-2023,2023Q2
0001978799-23-000001,"Curza, Inc.",0001978799,650 KOMAS DR,STE 202,SALT LAKE CITY,UT,84108,367233,1750000,07-JUN-2023,2023Q2
0001934002-23-000001,"Tangen Biosciences, Inc.",0001661955,20 COMMERCIAL STREET,,BRANFORD,CT,06405,464767,2500000,06-JUN-2023,2023Q2
0001490109-23-000002,Carmot Therapeutics Inc.,0001490109,740 HEINZ AVENUE,,BERKELEY,CA,94710,149999802,149999802,06-JUN-2023,2023Q2
0001976533-23-000001,"EnGraft Technologies, Inc.",0001976533,4337 MARINA CITY DRIVE,UNIT 527,MARINA DEL REY,CA,90292,1000000,Indefinite,06-JUN-2023,2023Q2
0001980232-23-000001,Qidni Labs Inc.,0001980232,"151 CHARLES STREET WEST, SUITE 199",,KITCHENER,A6,N2G 1H6,730000,780000,05-JUN-2023,2023Q2
0001978956-23-000002,"Artelon, Inc.",0001978956,"2150 NW PARKWAY SE, SUITE G",,MARIETTA,GA,30067,19999998,30000004,02-JUN-2023,2023Q2
0001759355-23-000001,"Pluton Biosciences, Inc.",0001759355,11754 WESTLINE INDUSTRIAL DRIVE,,ST. LOUIS,MO,63146,17579071,17579071,02-JUN-2023,2023Q2
0001834664-23-000002,"SURGE Therapeutics, Inc.",0001834664,"ONE BROADWAY, 14TH FLOOR",,CAMBRIDGE,MA,02142,32003969,49999998,02-JUN-2023,2023Q2
0001667561-23-000004,"Inscripta, Inc.",0001667561,5720 Stoneridge Drive,,Pleasanton,CA,94588,1855000,1855000,01-JUN-2023,2023Q2
