Establishment Name,"City, State/Zip",FEI,Establishment Status
Age-Less Skin & Wellness,"Albuquerque, New Mexico / 87112",3012339829.0,Inactive
Agora Gynaecology and Fertility Centre,"Brighton, / BN1 5PA",3027296262.0,Inactive
"Akan Biosciences, Inc.","Gaithersburg, Maryland / 20879",3017871874.0,Registered
Akesoe Biologics LLC,"Winter Springs, Florida / 32708",3033413967.0,Registered
Alabama Center for Reproductive Medicine,"Birmingham, Alabama / 35209",3015364206.0,Registered
"Alaris Biologic Technologies, Inc.","Gainesville, Florida / 32606",3010898668.0,Inactive
"Albany Fertility and Gyn. PLLC, Boston IVF The Syracuse Center","Syracuse, New York / 13214",3014737417.0,Registered
Albany IVF Fertility and GYN DBA Boston IVF The Rochester Center,"Rochester, New York / 14626",3003972347.0,Registered
Albany IVF Fertility and Gynecology PLLC DBA Boston IVF The Albany Center,"Loudonville, New York / 12211",3004894521.0,Registered
Albert Einstein Hospital,"Sao Paulo, / 05652-000",3005003230.0,Inactive
Albert Rojtman,"Neptune, New Jersey / 07753",3039523418.0,Inactive
Alberta Blood and Marrow Transplant Program,"Calgary, / T2N4N2",3008296362.0,Inactive
Albrecht Women's Care,"Denver, Colorado / 80220",3023887175.0,Inactive
"Aldagen, Inc.","Durham, North Carolina / 27713",3006215860.0,Inactive
Alerce Biologix PR LLC,"SAN JUAN, / 00907",3032914512.0,Inactive
"Alfred J. Rodriguez, M.D, P.A.","Plano, Texas / 75093",3006523527.0,Registered
"Aligneage Fertility Laboratory, LLC","New York, New York / 10017",3029756122.0,Registered
"AllCells, LLC","Quincy, Massachusetts / 02169",3020909810.0,Registered
"AllCells, a Discovery Life Science company","Alameda, California / 94502",3010226283.0,Registered
Allegheny Health Network Cancer Institute West Penn Hospital,"Pittsburgh, Pennsylvania / 15224",2572844.0,Registered
Allegheny Health System,"Pittsburgh, Pennsylvania / 15212",3007203921.0,Inactive
Allen Reproductive Center,"McKinney, Texas / 75070",3012838752.0,Registered
Allina Health Laboratories,"Minneapolis, Minnesota / 55407",3005137395.0,Inactive
AlloSource,"Centennial, Colorado / 80111",3000215346.0,Registered
AlloSource,"Salt Lake City, Utah / 84108",1000517648.0,Inactive
"Allograft Innovations, LLC","Gainesville, Florida / 32606",3006018016.0,Inactive
"Allotech, LLC","Lubbock, Texas / 79424",3008808855.0,Registered
"Allotex, Inc.","Boston, Massachusetts / 02210",3013576805.0,Registered
Allure Bio-Lab,"Las Vegas, Nevada / 89117",3010952647.0,Inactive
"AlphaBiosurgery, Inc.","Gainesville, Florida / 32609",3008408397.0,Inactive
Alta Bates IVF Program,"Walnut Creek, California / 94595",3004740532.0,Inactive
Alta Bates Summit Medical Center,"Berkeley, California / 94704",3003969169.0,Inactive
Amarillo Stem Cell Processing,"Amarillo, Texas / 79106",3006257719.0,Inactive
"Amend Surgical, Inc.","Alachua, Florida / 32615",3012161787.0,Registered
America Cell Biobank Inc.,"Westfield NJ 07091-2189, New Jersey / 07091-2189",3010851828.0,Registered
America Cell Biomedica SAS,"Bogota, /",3014999435.0,Registered
America Cell Biomedica SL,"Alcobendas - Madrid, / 28100",3030245973.0,Registered
America Institute of Reproductive Medicine,"Birmingham, Alabama / 35209",3015364214.0,Inactive
"American Cell Technology, LC","Sunrise, Florida / 33325",3015973705.0,Registered
American Fertility Medical Center; Genetic Infertility and Andrology Lab,"Irvine, California / 92618",3015417637.0,Inactive
American Infertility of NY,"New York, New York / 10021",3003969128.0,Registered
American National Red Cross (The),"West Henrietta, New York / 14586",3002957282.0,Inactive
American Reproductive Centers (Costa-Newport),"Costa Mesa, California / 92627",3009798662.0,Inactive
American Stem Cell Innovation,"Irvine, California / 92617",,Pre-registered
American Type Culture Collection,"Gaitherburg, Maryland / 20877",3012335065.0,Inactive
American University of Beirut Medical Center,"Beirut, /",3006992138.0,Inactive
"Americord Registry, LLC.","Somerset, New Jersey / 08873",3006988080.0,Registered
AmnioGift LLC,"Oak Harbor, Washington / 98277",3033729599.0,Registered
Amnion LLC,"Sterling, Virginia / 20165",3017609580.0,Registered
"Amniotic Therapies, Inc","Dallas, Texas / 75234",3011414133.0,Inactive
"Amniotic Therapies, LLC","Farmers Branch, Texas / 75234",3011007486.0,Inactive
"Amnitrans USA, LLC","Vestavia Hills, Alabama / 35242",3042351108.0,Registered
Andra Andrology and Embryology LLC,"Austin, Texas / 78756",3028170576.0,Registered
"Andrology Laboratory Services, Inc","Oakbrook Terrace, Illinois / 60181",3003966296.0,Registered
Ankara University Cord Blood Bank,"Ankara, / 06620",3006812631.0,Registered
Ankara University Unrelated Donor Registry,"Ankara, / 06100",3027474598.0,Inactive
Ann Kimball & John W. Johnson Center for Cellular Therapeutics (KJCCT) Facility,"Houston, Texas / 77030",3043799577.0,Registered
Annandale Fertility,"Fairfax, Virginia / 22031",3030902381.0,Registered
Anthony Nolan Cell Therapy Centre,"Nottingham, / NG11 8NS",3009003644.0,Inactive
Apana Sperm Washing,"Tampa, Florida / 33647",3041701178.0,Registered
Apheresis Associates of Northern Virginia,"Annandale, Virginia / 22003",3003695983.0,Registered
Applied Biologics LLC,"Scottsdale, Arizona / 85258",3009079462.0,Registered
Arbor Fertility,"Chesterfield, Missouri / 63017",3030593851.0,Registered
Aretta Medical LLC,"Vienna, Virginia / 22182",3031042129.0,Inactive
Arizona Advanced Reproductive Laboratory LLC (dba Pinnacle Fertility - Arizona),"Scottsdale, Arizona / 85258",3005605719.0,Registered
Arizona Andrology Laboratory & Cryobank,"Tuscon, Arizona / 85710",3004628096.0,Registered
Arizona Associates for Reproductive Health,"Scottsdale, Arizona / 85255",3005658833.0,Inactive
Arizona Center for Reproductive Endocrinology and Infertility,"Tucson, Arizona / 85712",3005391124.0,Registered
Arizona Reproductive Medicine Specialists,"Phoenix, Arizona / 85016",3003941314.0,Registered
Arkansas Fertility & Gynecology Associates,"Little Rock, Arkansas / 72205",3005338425.0,Registered
Arkansas Lions Eye Bank & Laboratory,"Little Rock, Arkansas / 72205",3001238036.0,Inactive
Armenian Bone Marrow Donor Registry,"Yerevan, / 0014",3016019093.0,Inactive
"Arteriocyte, Inc.","Hopkinton, Massachusetts / 01748",3008709314.0,Inactive
"Arthur M. Blank Hospital, Inc.","Atlanta, Georgia / 30329",1000305448.0,Registered
"Artivion, Inc.","Kennesaw, Georgia / 30144",3001451326.0,Registered
"Ascension Via Christi Hospitals Wichita, Inc.","Wichita, Kansas / 67214",1970374.0,Registered
Aspire Fertility,"Houston, Texas / 77030",3012347330.0,Inactive
Aspire Fertility - Atlanta,"Atlanta, Georgia / 30328",3014150116.0,Inactive
Aspire Fertility Institute Austin,"Austin, Texas / 78705-1100",3010894725.0,Registered
Aspire Fertility Institute Dallas,"Addison, Texas / 75001",3012838671.0,Registered
Aspire Fertility Institute McAllen,"McAllen, Texas / 78504",3013225167.0,Inactive
Aspire Fertility Institute San Antonio,"San Antonio, Texas / 78258",3006601457.0,Registered
Aspire Health Science LLC,"Orlando, Florida / 32826",3009082673.0,Inactive
Assisted Fertility Program,"Jacksonville, Florida / 32216",3005033067.0,Registered
"Assisted Reproductive Technologies Medical Group, Inc.","Encino, California / 91316",3007014169.0,Registered
"Associated Fertility & GYN, P.C.","Fort Wayne, Indiana / 46804",3005125305.0,Inactive
Atlanta Medical Center,"Atlanta, Georgia / 30312",3009094495.0,Inactive
Atlanta Reproductive Laboratories,"Atlanta, Georgia / 30342",3013274445.0,Inactive
"Atlantic Reproductive Medicine Specialists, PA","Raleigh, North Carolina / 27617",3010046969.0,Registered
Atrium Health,"Charlotte, North Carolina / 28204",3010641159.0,Registered
"Atrium Health Fertility Center, A Facility of Carolinas Medical Center","Charlotte, North Carolina / 28204",3005405897.0,Registered
Atrium Health Wake Forest Baptist CFEM,"Winston-Salem, North Carolina / 27103",3003909013.0,Registered
Audubon Labs LLC,"New Orleans, Louisiana / 70115",3010600137.0,Registered
Aurora Health Care - Aurora Fertility Services,"Green Bay, Wisconsin / 54311",3004451803.0,Registered
Aurora Health Care-Aurora Fertility Services,"West Allis, Wisconsin / 53227",3006580872.0,Registered
"Aurora Health Center, Fertility Clinic","Kenosha, Wisconsin / 53142",3017876968.0,Inactive
Aurora St. Luke's Medical Center,"Milwaukee, Wisconsin / 53215",3004369212.0,Registered
Austin Laboratory New Health,"Austin, Texas / 78758",3008804132.0,Registered
Aventura Fertility & IVF,"Aventura, Florida / 33180",3017435718.0,Inactive
Avera McKennan Hospital & University Health Center,"Sioux Falls, South Dakota / 57105",1772097.0,Registered
AxoGen Corporation,"Virginia Beach, Virginia / 23455",3009658506.0,Inactive
Axogen Corporation,"Vandalia, Ohio / 45377",3023488176.0,Registered
Axogen Corporation,"Dayton, Ohio / 45402",3012085771.0,Registered
Azienda Ospedaliera Arcispedale Santa Maria Nuova di Reggio Emilia,"Reggio nell'Emilia, / 42123",3008296834.0,Inactive
Azienda Ospedaliera S. Camillo Forlanini collection and processing HPC,"Rome, / 00152",3008296921.0,Inactive
BBF Sterilisationsservice GmbH,"Kernen, / 71394",3006017180.0,Registered
BBG Advanced Therapies,"San Antonio, Texas / 78201",3035360396.0,Registered
BBG Advanced Therapies,"San Antonio, Texas / 78205",3041720620.0,Registered
BEH Life Sciences,"Bay Harbour Islands, Florida / 33154",3045189436.0,Registered
BEH Life Sciences LLC,"Bay Harbor Islands, Florida / 33154",,Pre-registered
"BHC, LLC","Brownsburg, Indiana / 46112",3009651519.0,Registered
BIOBank SAS,"Presles en Brie, / 77220",3012093247.0,Inactive
BIOCELLS DISCOVERIES INTERNACIONAL S.A.,"QUITO, / 170157",3015474465.0,Registered
BIOCENTRIC LAB LLC,"GRAPEVINE, Texas / 76051",3031915164.0,Registered
"BLS Labs, LLC","Mesa, Arizona / 85202",3030597722.0,Registered
"BLS Labs, LLC","Scottsdale, Arizona / 85260",3014573577.0,Inactive
"BMT DE OCCIDENTE, S.A. DE C.V.","ZAPOPAN, / 45116",3014468413.0,Registered
"BMT DE OCCIDENTE, S.A. DE C.V.","TLAJOMULCO DE ZUNIGA, / 45640",3013666829.0,Registered
"BMT Unit, EVAGGELISMOS Hospital","Athens, / 10676",3006987317.0,Inactive
"BMT-Unit, Medical Department 5","Nuernberg, / 90419",3004564638.0,Inactive
Banc De Sang i Teixits,"Barcelona, / 08035",3005060589.0,Inactive
Banco De Cordon De la Comunidad Valenciana,"Valencia, / 46014",3004836745.0,Registered
Banco de Sangre de Cordon Umbilical de Madrid,"Madrid, / 28032",3004836751.0,Registered
Banner - University Medical Center Tucson,"Tucson, Arizona / 85719",3004445465.0,Registered
Banner MD Anderson Cancer Center,"Gilbert, Arizona / 85234",3009601590.0,Registered
Baptist Cancer Center Malignant Hematology & Transplant Program,"Memphis, Tennessee / 38120",3004580210.0,Registered
Baptist Memorial Hospital Memphis Blood Bank,"Memphis, Tennessee / 38120-2113",1047815.0,Inactive
Barbara Ann Karmanos Cancer Hospital,"Detroit, Michigan / 48201",3004620025.0,Registered
Barnes-Jewish Hospital BB,"St Louis, Missouri / 63110",1974272.0,Registered
Basavatarakam Indo American Cancer Hospital & Research Institute,"Hyderabad, /",3027474666.0,Inactive
Batzofin Fertility Services,"New York, New York / 10016",3007196536.0,Inactive
Baylor Medical Center IVF Laboratory,"Carrollton, Texas / 75010",3003927209.0,Inactive
Baylor Scott & White Medical Center - Temple,"Temple, Texas / 76508",3011007455.0,Registered
Baylor University Medical Center,"Dallas, Texas / 75246",3004080724.0,Registered
"Baylor, Scott, and White, ART Program","Temple, Texas / 76508",3031507074.0,Registered
"Baylx, Inc.","Irvine, California / 92618",3015541189.0,Inactive
Beacon Kalamazoo,"kalamazoo, Michigan / 49048",1870525.0,Registered
Bedford Research Foundation,"Bedford, Massachusetts / 01730",3005001384.0,Registered
Beijing Cord Blood Bank,"Beijing, / 100176",3011414009.0,Inactive
Bellingham IVF & Fertility Care,"Bellingham, Washington / 98225",3004733425.0,Inactive
Bello Bio LLC,"Scottsdale, Arizona / 85262",3028583081.0,Registered
Bergen Community Regional Blood Center dba Community Blood Services,"Montvale, New Jersey / 07645",2275064.0,Inactive
Berkeley Advanced Biomaterials,"Berkeley, California / 94710",3003586733.0,Inactive
"Berkeley Advanced Biomaterials, LLC","Berkeley, California / 94710",3014298539.0,Registered
Berkeley Biologics LLC,"Richmond, California / 94804",1000100754.0,Registered
Beta Plus Fertility,"Tbilisi, / 0179",3015297662.0,Registered
"Beth Ary M.D., Inc.","Newport Beach, California / 92660",3003348028.0,Inactive
Beth Israel Deaconess Medical Center,"Boston, Massachusetts / 02215",3006800205.0,Registered
Bethesda Fertility Center,"Cincinnati, Ohio / 45242",3003928270.0,Inactive
"BigHat Biosciences, Inc.","San Mateo, California / 94403",3020889921.0,Inactive
Billings Clinic Fertility Specialists,"Billings, Montana / 59102",3012341977.0,Registered
Billings Clinic Fertility Specialists,"Bozeman, Montana / 59715",3028586894.0,Registered
Billings Clinic Surgery Center REI Laboratory and Procedure,"Billings, Montana / 59101",3014163267.0,Registered
Bio-Avail LLC,"FULLERTON, California / 92833",3015964833.0,Inactive
BioAesthetics Corporation,"Durham, North Carolina / 27701",3016130529.0,Inactive
BioBancUSA,"Monterey, California / 93940",3006399944.0,Inactive
BioCell for Laboratories and Medical Researches (BabyCord),"Amman, / 11192",3017417671.0,Registered
"BioCentriq, Inc","Monmouth Junction, New Jersey / 08852",3025506443.0,Inactive
BioDlogics LLC,"Cordova, Tennessee / 38018",3007717495.0,Registered
BioEden Inc,"Austin, Texas / 78748",3005877419.0,Inactive
BioGenetics Corporation,"Mountainside, New Jersey / 07092",3001236618.0,Registered
"BioGenix, LLC","Houston, Texas / 77056",3013919583.0,Inactive
BioNTech IMFS GmbH,"Idar-Oberstein, / 55743",3004946879.0,Inactive
BioReliance Corporation,"Rockville, Maryland / 20850",1122041.0,Inactive
BioReliance Corporation,"Rockville, Maryland / 20850",3005667100.0,Inactive
BioReliance Limited,"Glasgow, / G200XA",3005343934.0,Inactive
BioStem Life Sciences,"Pompano Beach, Florida / 33064",3013239405.0,Registered
"BioStorage Lab Services, LLC","Middle River, Maryland / 21220",3008890662.0,Inactive
BioTissue Holdings Inc.,"Doral, Florida / 33122",3009809074.0,Registered
BioTissue Holdings Inc.,"Miami, Florida / 33173",3003415347.0,Inactive
"BioXtek, LLC","Pompano Beach, Florida / 33060",3027649380.0,Registered
Biobank SAS,"Lieusaint, / 77127",3016716493.0,Registered
"Biogennix, LLC","Irvine, California / 92614",3008773560.0,Registered
"Biointegrate, Inc","New York, New York / 10027",3014192418.0,Inactive
"Biologic Therapy Core Facility, Siteman Cancer Center","St. Louis, Missouri / 63110",3007743644.0,Registered
"Biomedx of Tallahassee, LLC.","Tallahassee, Florida / 32312",3009510389.0,Inactive
Biotexcom LLC,"Kyiv, / 04107",3011828869.0,Registered
Biotherapeutic Labs Corp,"Monmouth Junction, New Jersey / 08852",3017876128.0,Inactive
Birth Tissue Recovery of Missouri LLC,"Farmington, Missouri / 63640",3043352671.0,Registered
Birth Tissue Recovery of Missouri LLC,"Ironton, Missouri / 63650",3039016604.0,Inactive
Blackfish Biotech Inc,"Gainesville, Florida / 32601",3045189502.0,Registered
Blood Transfusion Centre of Slovenia Cell and Tissue Establishment,"Ljubljana, / 1000",3007797171.0,Inactive
Bloodworks,"Seattle, Washington / 98104",3071347.0,Registered
"Bloom Invo, LLC","Atlanta, Georgia / 30328",3024743743.0,Registered
Bloom Reproductive Institute,"Scottsdale, Arizona / 85258",3011482299.0,Registered
"Blue Sky Fertility Services, LLC","Overland Park, Kansas / 66223",3013167853.0,Registered
Bluegrass Fertility,"Lexington, Kentucky / 40503",3007171226.0,Registered
Bluegrass Fertility Center,"Lexington, Kentucky / 40509",3004557185.0,Registered
Boca Fertility,"Boca Raton, Florida / 33486",3003926589.0,Registered
Bone Bank Allografts,"San Antonio, Texas / 78245",3006226621.0,Inactive
Boston Children's Hospital,"Boston, Massachusetts / 02115",1274061.0,Registered
"Boston IVF - The Arizona Center, LLC","Scottsdale, Arizona / 85258",3010726928.0,Inactive
"Boston IVF Fertility Services at The Women?s Hospital, LLC","Newburgh, Indiana / 47630",3010149285.0,Registered
Boston IVF The Rhode Island center,"Providence, Rhode Island / 02904",3027447276.0,Registered
Boston IVF The Springfield Center,"Springfield, Massachusetts / 01107",3030390604.0,Registered
"Boston IVF, LLC","Waltham, Massachusetts / 02451",3004514164.0,Registered
"Boston IVF, LLC The Maine Center","South Portland, Maine / 04106",3008339013.0,Registered
Boston IVF- The NH Center,"Bedford, New Hampshire / 03110",3019301545.0,Registered
Boston Medical Center Blood Bank,"Boston, Massachusetts / 02118",1273232.0,Registered
Brandeis Fertility Center,"Brooklyn, New York / 11237",3006604040.0,Inactive
Brandeis Fertility Center,"Forest Hills, New York / 11375",3006604043.0,Inactive
"Brenden-Colson Center for Pancreatic Care, Oregon Health & Science University","Portland, Oregon / 97239",3017876934.0,Registered
Brigham & Women's Hospital,"Boston, Massachusetts / 02115",1270016.0,Registered
"Bright Cell, Inc.","Irvine, California / 92618",3029777044.0,Registered
"BrioMD Labs, LLC","Hattiesburg, Mississippi / 39402",3013545754.0,Registered
Brooklyn IVF/Maimonides Medical Center,"Brooklyn, New York / 11228",3006401559.0,Inactive
"Brown Fertility, Associates P.A.","Jacksonville, Florida / 32256",3008286984.0,Registered
"Brown Fertility, Associates P.A.","Winter Garden, Florida / 34787",3024743705.0,Registered
Brown Urology Inc.,"Providence, Rhode Island / 02905",3004475081.0,Registered
Buddhist Tzu Chi Stem Cells Center,"Hualien City, / 970",3005881509.0,Inactive
C.A.R.E. Fertility,"Glendale, California / 91205",3007390777.0,Registered
C.T.M.O.,"Reggio di Calabria, / 89100",3008296865.0,Inactive
C5 Biomedical LLC,"Boca Raton, Florida / 33487",3021867303.0,Registered
CARE for the Bay Area,"Los Gatos, California / 95032",3009473818.0,Registered
CBB Pisa Azienda Ospedaliera Universitaria Pisana,"Pisa, / 56124",3008830754.0,Registered
CBB UZ-Gent / IMS Rode Kruis Vlaanderen,"Gent, / B-9000",3004554340.0,Inactive
CBIOLAB Limited,"Kowloon, / 00",3016852818.0,Inactive
"CBR Systems, Inc. dba Cord Blood Registry","Tucson, Arizona / 85756",3003374183.0,Registered
"CCB-NWC, LLC","Missoula, Montana / 59804",3003973142.0,Inactive
"CCB-NWC, LLC","Pullman, Washington / 99163",3008410905.0,Inactive
"CCB-NWC, LLC","Spokane, Washington / 99201",3003115192.0,Inactive
CCRM Austin,"Austin, Texas / 78735",3030717543.0,Registered
CCRM Boston,"Chestnut Hill, Massachusetts / 02459",3013534640.0,Registered
CCRM DFW,"Frisco, Texas / 75034",3008234883.0,Registered
CCRM Fertility - Greenville,"Greenville, South Carolina / 29615",3041504145.0,Registered
CCRM Florida,"Miami, Florida / 33180",3027287122.0,Registered
CCRM Houston - Medical Center,"Houston, Texas / 77054",3014287130.0,Registered
CCRM Minneapolis,"Edina, Minnesota / 55435",3011394724.0,Registered
CCRM New York,"New York, New York / 10019",3012355553.0,Registered
CCRM Northern Virginia,"Vienna, Virginia / 22182",3013528388.0,Registered
CCRM San Francisco,"Menlo Park, California / 94025",3013553527.0,Registered
"CCRM Seattle, LLC","Bellevue, Washington / 98004",3004174071.0,Registered
CELLARES CORPORATION,"South San Francisco, California / 94080",3016590115.0,Inactive
CENTER TRIALS & TREATMENT Inc.,"Bloomingburg, New York / 12721",,Inactive
"CER SANTANDER, S.L.","Sta. Cruz de Bezana, / 39100",3041694681.0,Registered
"CG BIO Co., Ltd.","Hwaseong-si, / 18608",3017036472.0,Registered
"CG MedTech Co., Ltd.","Seongnam-si, / 13211",3006724198.0,Registered
CHA Bundang Medical Center,"Seongnam-si, / 13496",3032008535.0,Registered
CHU Liege-Laboratory of Cellular and Gene Therapy,"Liège, / 04000",3008296888.0,Registered
CHU UCL Namur - Godinne,"5530 YVOIR, / 5530",3011414744.0,Registered
CHU de Liege-Laboratory of Cellular Therapy,"Liege, / B-4000",3003405822.0,Registered
CHU de Quebec-Université Laval,"Quebec, / G1R 2J6",3002905177.0,Registered
CLINICAL RESEARCH CELL MANUFACTURING PROGRAM,"MIAMI, Florida / 33136",3009056183.0,Registered
CMT Cellex Manufacturing Transports & Logistics GmbH,"Koeln (Cologne), / 50829",3008296900.0,Registered
"CNY Fertility, PLLC","Colorado, Springs, Colorado / 80910",3004590904.0,Registered
"CNY Fertility, PLLC","Sarasota, Florida / 34232",3026925642.0,Registered
"CNY Fertility, PLLC","Latham, New York / 12110",3005841676.0,Registered
"CNY Fertility, PLLC","Syracuse, New York / 13205",3003972256.0,Registered
"CNY Fertility, PLLC","Williamsville, New York / 14221",3017876311.0,Registered
"CNY Fertility, PLLC","Rochester, New York / 14610",3016710305.0,Registered
CORD:USE Cord Blood Bank,"Orlando, Florida / 32810",3005405756.0,Inactive
CORD:USE Cord Blood Bank,"Orlando, Florida / 32810",3006718568.0,Inactive
"CRM Alabama, LLC dba The Center for Reproductive Medicine","Mobile, Alabama / 36607",3003947149.0,Registered
CRYOVIVA (SINGAPORE) PTE. LTD.,"SINGAPORE, / 577177",3017037280.0,Registered
"CT Fertility, PC","Trumbull, Connecticut / 06611",3004514160.0,Inactive
CU Advanced Reproductive Medicine Central Park Clinic,"Denver, Colorado / 80238",3010267012.0,Inactive
Calabria Cord Blood Bank,"Reggio Calabria, / 89124",3009193709.0,Inactive
California Center for Reproductive Health,"Encino, California / 91436",3008802966.0,Inactive
